"","mean","sd","low_range_sd","high_range_sd","low_range","high_range"
"BIO10",18.8826040140654,7.52603534629746,-2.50897094488866,1.32193903350356,7.105427357601e-15,28.8315639058635
"BIO17",29.9395983252563,55.8434649872372,-0.536134323543479,4.004407680081,-7.105427357601e-14,253.559598402483
"BIO4",1109.51822395496,338.131942082336,-3.28131739675983,1.95192461521435,3.41060513164848e-12,1769.5262848957
"BIO9",-6.12775814439474,10.8074485137364,-2.03632973539786,3.1717973491539,-28.1352869166976,28.1512784025916
"npp",429.293034557235,306.60544398342,-1.40014811537544,3.86720780309069,-5.6843418860808e-13,1615
