"","mean","sd"
"BIO4",1072.47208976682,351.019915062383
"BIO9",-5.30685106717057,11.8282159132118
"BIO10",18.8994743566401,7.46851977002464
"BIO17",32.5291963881794,54.636740920398
"npp",450.00330145332,317.927737671949
