"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"phi[58]",0.356936019311384,0.00555541555012664,0.472636809869737,-0.570263259522037,0.0398951028562514,0.357074168717407,0.67825621281238,1.27935098861568,7238.05675863044,1.00084450098629
"phi[59]",-0.17254040974003,0.00749120175697383,0.488028665376899,-1.11773447298469,-0.502376772238232,-0.175007810850006,0.156990987637354,0.788434543652633,4244.12020820402,1.00255504357292
"phi[60]",0.1157450443065,0.0078042465090611,0.500246107542077,-0.862258118324836,-0.223716510302052,0.114243023650451,0.455876689760133,1.10224906803502,4108.70989986382,1.00207091568
"phi[61]",0.131993831438218,0.00729936960590457,0.649650428530608,-1.1326884500942,-0.303974597842869,0.128403884733121,0.57220775612099,1.41223155168454,7921.15932712261,1.00112267848396
"phi[62]",0.0789161332644155,0.00506690204205432,0.497893581899305,-0.893510232533843,-0.256599630641488,0.0797177140270471,0.412983703548065,1.05035355412316,9655.7950644251,1.00111501415363
"phi[63]",0.0936729279757204,0.00506300263027955,0.498170073452763,-0.886029438953546,-0.243304956450942,0.0961192228565611,0.431376991036005,1.07161167646708,9681.41781816703,1.0004341020506
"phi[64]",0.131316896177607,0.00493559490645522,0.524933476601823,-0.895344141284689,-0.22063726719392,0.129828353961998,0.486793611662762,1.16299120558014,11311.7428861325,1.00058225614892
"phi[65]",0.162558057341741,0.00470137316280847,0.474782517757953,-0.768431375167759,-0.158604943193238,0.163636906062591,0.483372084933684,1.09283519476837,10198.5866605387,1.00074287328054
"phi[66]",0.275702060648805,0.00468884997436092,0.493377617613515,-0.706076218970918,-0.0577658296800939,0.2759523644963,0.611617549397323,1.2351860389518,11072.0034589167,1.00041972309075
"phi[67]",-0.363511944455066,0.00919862731584221,0.528642963816162,-1.40502891132496,-0.718294888066844,-0.366737406456305,-0.00768722034295563,0.675661354297203,3302.77405974256,1.00380258824306
"phi[68]",-0.252636688366182,0.00747021337890603,0.596524990941375,-1.42733559005827,-0.654752367709107,-0.25092920360554,0.152492073465719,0.913830380329678,6376.63078172719,1.00199926096919
"phi[69]",-0.0956948305365173,0.00853056279379185,0.524001226424501,-1.11702219450671,-0.449995972533085,-0.0959087370602603,0.258763563885986,0.922866768526896,3773.1948981684,1.00330822061605
"phi[70]",-0.0584676473266279,0.0077603676571882,0.518989617718645,-1.06928756059768,-0.405384680264312,-0.0594758672847704,0.290421015654445,0.958667002873338,4472.52468202674,1.00229238963584
