No.,Sample_type,Quantity,Sediment_type_pollen_cores,Site_section_name,Site_short,Province,Country,Taxonomic_identification,Dating_method,Dating_result,Reference,longitude,latitude,lon,lat,altitude (masl),location_source,start_date,end_date
25,Charred seeds,2,0,Kyung-lung Mesa/Kaerdong,Kyung-lung Mesa,Tibet,China,Fagopyrum tataricum,Stratigraphic comparison,1375-1290 cal BP,"Song et al., 2018",80.66,31.14,80.66,31.14,,Song et al. 2018,1375,1290
26,Charred seeds,4,0,Bayantala site,Bayantala,Inner Mongolia,China,Fagopyrum esculentum,Archaeological culture,1040-830 cal BP,Sun 2013,118.54,44.94,118.54,44.94,,google maps (coordinates of Bayantala),1040,830
27,Charred seeds,4,0,Sunchangqing site,Sunchangqing,Jilin,China,Fagopyrum esculentum,Archaeological culture,1030-720 calBP,Yang et al. 2010,122.62,45.71,122.62,45.71,,google maps (coordinates of Sunchangqing),1030,720
28,Charred seeds,3,0,Donghuishan,Donghuishan,Gansu,China,Buckwheat ,AMS 14C,3610-3458 calBP,Wei 2019,100.73,38.67,100°44'E,38°40'N,,Xinying et al. 2011,3610,3458
29,Pollen sequence,,Loess-paleosol,Heshui,Heshui,Shaanxi,China,Fagopyrum. sp,Stratigraphic comparison,pre 4000 cal BP, Jiang et al. 2013,35.78,108.29,35.78,108.29,1475,Jiang et al. 2013,11000,4000
30,Pollen sequence,,Alluvial sediment,HQ98 (Chongming island)/ Changjiang River_1998,HQ98 (Chongming island),Jiangsu,China,Fagopyrum. sp,AMS 14C,5000 cal BP,Yi et al. 2003b; Cao et al. 2013,120.23,32.25,120°14'E,32°15'N,5.91,Yi et al. 2003b,5000,4500
31,Pollen sequence,,,Charisu,Charisu,Inner Mongolia,China,Fagopyrum. sp,,900-50 cal BP,Cao et al. 2013,122.35,42.96,122.35,42.96,249,Cao et al. 2013,900,50
32,Pollen sequence,,,Luochuan,Luochuan,Shaanxi,China,Fagopyrum. sp,,13200 cal BP,Cao et al. 2013,109.42,35.75,109.42,35.75,1068,Cao et al. 2013,13200,13200
33,Pollen sequence,,Lake core,Shayema Lake,Shayema Lake,Sichuan,China,Fagopyrum. sp,Stratigraphic comparison,700 cal BP,Jarvis 1993; Cao et al. 2013,102.22,28.58,102.22,28.58,2400,Jarvis 1993,700,700
34,Pollen sequence,,Paloesol,Wangjiadian,Wangjiadian,Henan,China,Fagopyrum. sp,Stratigraphic comparison,8200-2600 cal BP,"Cao et al., 2010; Cao et al. 2013",114.4,36.1,114°24'5.52''E,36°5'47.66''N,67,"Cao et al., 2010",8200,2600
35,Pollen sequence,,Lake core,Sihailongwan Lake,Sihailongwan Lake,Jilin,China,Fagopyrum. sp,Stratigraphic comparison,5600 cal BP,Cao et al. 2013,126.6,42.28,126°36'E,42°17'N,797,"Stebich et al., 2015",5600,5600
36,Pollen sequence,,Lake core,Tso Moriri Lake,Tso Moriri Lake,,India,Fagopyrum. sp,,1100 cal BP,Cao et al. 2013,78.31,32.09,78°19'E,32°54'N,4512,"Leipe et al., 2014",1100,1100
37,Charred seeds,,0,Mebrak,Mebrak,Mustang,Nepal,Fagopyrum esculentum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2000,28.83,83.84,28.83,83.84,3500,"d’Alpoim Guedes and Bocinsky, 2018 [dataset]",2850,150
38,Charred seeds,,0,Mebrak,Mebrak,Mustang,Nepal,Fagopyrum tataricum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2000,28.83,83.84,28.83,83.84,3500,"d’Alpoim Guedes and Bocinsky, 2018 [dataset]",2850,150
39,Charred seeds,,0,Phudzeling,Phudzeling,Mustang,Nepal,Fagopyrum esculentum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2001,28.828414,28.828414,28.828414,28.828414,3000,Stevens et al. 2016,2850,150
40,Charred seeds,,0,Phudzeling,Phudzeling,Mustang,Nepal,Fagopyrum tataricum,Stratigraphic comparison,from 2850 cal BP,Knorzer 2001,28.828414,28.828414,28.828414,28.828414,3000,Stevens et al. 2016,2850,150
